"rule_id","project_id","rule_order","rule_name","rule_logic","real_time_execute"
"2","4","1","Missing CBC Baseline Duration","[initial][date_hemo_blood_b] != """" AND [initial][treatment_duration_cbc] == """" AND [log_visit_arm_1][inter_start1_date] != """"","0"
"1048","26","1","AEMODIFY coding","[ae_aemodify] = '' AND [ae_oth_aeterm] != ''","0"
"1058","31","1","AEMODIFY coding","[ae_aemodify] = '' AND [ae_oth_aeterm] != ''","0"
"1889","37","1","Completion","([t1_arm_1][t2_completed] != '1' AND datediff([t1_arm_1][t2_deadline], 'today', 'd', true) >= 0)
OR ([t1_arm_1][t3_completed] != '1' AND datediff([t1_arm_1][t3_deadline], 'today', 'd', true) >= 0)
OR ([t1_arm_1][t4_completed] != '1' AND datediff([t1_arm_1][t4_deadline], 'today', 'd', true) >= 0)
OR ([t1_arm_1][t5_completed] != '1' AND datediff([t1_arm_1][t5_deadline], 'today', 'd', true) >= 0)","0"
"687","28","1","Subject's age must be 18 or older at treatment start","[age_suppvs_age] != '' AND [age_suppvs_age] < 18","0"
"957","29","1","If no subjects are enrolled, COV reasons must include Inadequate enrollment","[co_pts] = 'N' AND [co_reasons(LOW_ENROLL)] != 1","1"
"190","21","1","Subject's age must be 18 or older at treatment start","[age_suppvs_age] != '' AND [age_suppvs_age] < 18","0"
"1783","38","1","AEMODIFY coding","[ae_aemodify] = '' AND [ae_oth_aeterm] != ''","0"
"1272","36","1","AEMODIFY coding","[ae_aemodify] = '' AND [ae_oth_aeterm] != ''","0"
"3","4","2","Demographics Incomplete or Unverified","[demographics_complete] != ""2""","0"
"787","31","2","AEDECOD Coding","[ae_aedecod] = '' AND [ae_oth_aeterm] != ''","0"
"1890","37","2","Test datediff for Queue","datediff([t1_arm_1][t2_senddate], 'today', 'd', true) >= 0","0"
"102","21","2","Consent date cannot be in the future","[consent_suppie_consdtc] != '' AND rounddown(datediff('today', [consent_suppie_consdtc], 'd', true)) > 0","1"
"372","26","2","AEDECOD Coding","[ae_aedecod] = '' AND [ae_oth_aeterm] != ''","0"
